"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://joinsnooze.com/login","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","79","0.592","",""
"https://joinsnooze.com/terms","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","4","1.146","",""
"https://joinsnooze.com/privacy","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","4","1.210","",""
"https://joinsnooze.com/offers/6iRarwak/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","16","0.561","",""
"https://joinsnooze.com/account","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","4","1.074","",""
"https://joinsnooze.com/offers/4zHPSRCs/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","2","0.610","",""
"https://joinsnooze.com/coaching","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","4","1.308","",""
"https://joinsnooze.com/recommended-products","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","6","1.047","",""
"https://joinsnooze.com/the-snooze-method","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","1.098","",""
"https://joinsnooze.com/5-12-month-baby-sleep-help","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","3","1.096","",""
"https://joinsnooze.com/toddler-sleep-help","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","1.029","",""
"https://joinsnooze.com/3-4-month-baby-sleep-course","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","3","1.060","",""
"https://joinsnooze.com/product/5-12-Month-Baby-Sleep-Guide","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","12","1.177","",""
"https://joinsnooze.com/offers/jRxWAnVo/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.579","",""
"https://joinsnooze.com/offers/mwiSia6A/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.597","",""
"https://joinsnooze.com/about","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","1.145","",""
"https://joinsnooze.com/offers/omMcVgAi/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.628","",""
"https://joinsnooze.com/product/catnapping-guide-free","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","3","1.104","",""
"https://joinsnooze.com/offers/N8v8eFEe/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.580","",""
"https://joinsnooze.com/wp-content/uploads/2022/06/SC-image-dressing-1024x1024.jpg","","415","Unsupported Media Type","Non-Indexable","Client Error","0","0.977","",""
"https://joinsnooze.com/offers/maowxKB6/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.547","",""
"https://joinsnooze.com/offers/W2PyqL2X/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.577","",""
"https://joinsnooze.com/the-snooze-social-membership","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.174","",""
"https://joinsnooze.com/offers/HbGyz97H/checkout","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.616","",""
