source_page,raw_href,normalised,flag,anchor
/,https://joinsnooze.com/products/communities/v2/snooze,/products/communities/v2/snooze,non_www,Snooze Village
/,https://www.sleepconcierge.com.au/offers/4zHPSRCs,/offers/4zhpsrcs,old_domain:sleepconcierge.com.au,Book a Consultation
/3-4-month-baby-sleep-course,https://joinsnooze.com/5-12-month-baby-sleep-course,/5-12-month-baby-sleep-course,non_www,5-12 Month Course
/3-4-month-baby-sleep-course,https://joinsnooze.com/newborn-sleep-guide,/newborn-sleep-guide,non_www,Newborn Sleep Guide
/3-4-month-baby-sleep-course,https://joinsnooze.com/offers/W2PyqL2X/checkout,/offers/w2pyql2x/checkout,non_www,Purchase Course
/3-4-month-baby-sleep-course,https://joinsnooze.com/products/communities/v2/snooze/library,/products/communities/v2/snooze/library,non_www,Sleep Library
/3-4-month-baby-sleep-course,https://joinsnooze.com/toddler-toolkit,/toddler-toolkit,non_www,Toddler Toolkit
/3-4-month-baby-sleep-course,https://www.sleepconcierge.com.au/offers/4zHPSRCs,/offers/4zhpsrcs,old_domain:sleepconcierge.com.au,Book a Consultation
/3-4-month-baby-sleep-course,https://www.sleepconcierge.com.au/products/communities/v2/snooze,/products/communities/v2/snooze,old_domain:sleepconcierge.com.au,Snooze Village
/3-4-month-baby-sleep-help,https://joinsnooze.com/3-4-month-baby-sleep-help,/3-4-month-baby-sleep-help,non_www,View 3-4 Month Guide
/3-4-month-baby-sleep-help,https://joinsnooze.com/5-12-month-baby-sleep-help,/5-12-month-baby-sleep-help,non_www,View 5-12 Month Guide
/3-4-month-baby-sleep-help,https://joinsnooze.com/newborn-baby-sleep-help,/newborn-baby-sleep-help,non_www,View Newborn Guide
/3-4-month-baby-sleep-help,https://joinsnooze.com/products/communities/v2/snooze,/products/communities/v2/snooze,non_www,Snooze Village
/3-4-month-baby-sleep-help,https://joinsnooze.com/toddler-sleep-help,/toddler-sleep-help,non_www,View Toddler Guide
/3-4-month-baby-sleep-help,https://www.sleepconcierge.com.au/3-4-month-baby-sleep-help,/3-4-month-baby-sleep-help,old_domain:sleepconcierge.com.au,View 3-4 Month Guide
/3-4-month-baby-sleep-help,https://www.sleepconcierge.com.au/5-12-month-baby-sleep-help,/5-12-month-baby-sleep-help,old_domain:sleepconcierge.com.au,View 5-12 Month Guide
