url,path,query,in_live_sitemap,in_june_inventory,repo_reference_count,june_http_status,june_page_type,june_drift_verdict,june_source_file,inventory_note
https://www.joinsnooze.com/,/,,true,true,974,200,homepage,drifted,apps/snooze-website/archive/website/home/snooze-home-page-blocks.html,
https://www.joinsnooze.com//fail,//fail,,false,false,1,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/3-4-month,/3-4-month,,false,false,1,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/3-4-month-baby-sleep-course,/3-4-month-baby-sleep-course,,true,true,252,200,landing,in_sync,apps/snooze-website/kajabi-deployment/pages/website/product-pages/3-4-month-course/3-4-month-course-landing-page.html,
https://www.joinsnooze.com/3-4-month-baby-sleep-course-OLD,/3-4-month-baby-sleep-course-OLD,,false,false,4,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/3-4-month-baby-sleep-course-terms-and-conditions,/3-4-month-baby-sleep-course-terms-and-conditions,,true,true,26,200,legal,drifted,apps/snooze-website/kajabi-deployment/pages/website/legal/3-4-month-course-terms-and-conditions.html,
https://www.joinsnooze.com/3-4-month-baby-sleep-course-terms-and-conditions</loc,/3-4-month-baby-sleep-course-terms-and-conditions</loc,,false,false,2,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/3-4-month-baby-sleep-course</loc,/3-4-month-baby-sleep-course</loc,,false,false,2,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/3-4-month-baby-sleep-help,/3-4-month-baby-sleep-help,,true,true,626,200,landing,in_sync,apps/snooze-website/kajabi-deployment/pages/website/age-pages/3-4-month-page-complete.html,
https://www.joinsnooze.com/3-4-month-baby-sleep-help</loc,/3-4-month-baby-sleep-help</loc,,false,false,2,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/3-4-month-masterclass-replay,/3-4-month-masterclass-replay,,true,true,29,200,landing,live_only,,
https://www.joinsnooze.com/3-4-month-masterclass-replay</loc,/3-4-month-masterclass-replay</loc,,false,false,2,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/3-4-month-sleep-training-masterclass-replay-offer,/3-4-month-sleep-training-masterclass-replay-offer,,false,false,3,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/3-to-2-nap-transition-guide,/3-to-2-nap-transition-guide,,false,false,2,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/4-month-sleep-regression-survival-guide,/4-month-sleep-regression-survival-guide,,true,true,42,200,landing,live_only,,
https://www.joinsnooze.com/4-month-sleep-regression-survival-guide</loc,/4-month-sleep-regression-survival-guide</loc,,false,false,2,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/5-12-month-baby-sleep-course,/5-12-month-baby-sleep-course,,true,true,247,200,landing,in_sync,apps/snooze-website/kajabi-deployment/pages/website/product-pages/5-12-month-course/5-12-month-guide-landing-page.html,
https://www.joinsnooze.com/5-12-month-baby-sleep-course</loc,/5-12-month-baby-sleep-course</loc,,false,false,2,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/5-12-month-baby-sleep-guide,/5-12-month-baby-sleep-guide,,false,false,3,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/5-12-month-baby-sleep-guide-the-sleep-concierge-BACKUP,/5-12-month-baby-sleep-guide-the-sleep-concierge-BACKUP,,false,false,4,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/5-12-month-baby-sleep-help,/5-12-month-baby-sleep-help,,true,true,631,200,landing,in_sync,apps/snooze-website/kajabi-deployment/pages/website/age-pages/5-12-month-page-complete.html,
https://www.joinsnooze.com/5-12-month-baby-sleep-help</loc,/5-12-month-baby-sleep-help</loc,,false,false,2,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/7-day-trial-thank-you,/7-day-trial-thank-you,,false,false,1,,,,,Repository reference only; verify before reuse
https://www.joinsnooze.com/</loc,/</loc,,false,false,2,,,,,Repository reference only; verify before reuse
